feature_class	feature	cohort	n	n_NR	n_R	auc_NR_high	median_NR	median_R	delta_median_NR_minus_R	logit_beta_per_sd	logit_se	logit_OR_per_sd	logit_p	mannwhitney_p	status	meta_tau2	meta_Q	meta_I2	logit_fdr
bulk_marker_score	refractory_module_score	GSE12251	23	11	12	0.9318181818181818	0.6066783282075244	-0.406995696551941	1.0136740247594656	4.379578534519894	2.2108168306872567	79.80439151994932	0.04759378996803516	0.0005064253596787044	ok				0.07514808942321342
bulk_marker_score	refractory_module_score	GSE16879	61	33	28	0.8809523809523809	0.5606885696126198	-0.5218409468455039	1.0825295164581237	2.1656113637103442	0.5476500714243511	8.719931337154389	7.673637544207224e-05	3.6326944346006096e-07	ok				0.001230414754995955
bulk_marker_score	refractory_module_score	GSE23597	32	7	25	0.7885714285714286	0.35172721504505505	-0.16990404463467884	0.5216312596797339	1.2001873190614116	0.5635841658214307	3.320738902174775	0.03320780639714207	0.02009830485915024	ok				0.057789389354733836
bulk_marker_score	refractory_module_score	GSE73661	64	39	25	0.718974358974359	0.23800976108412386	-0.387972793667356	0.6259825547514799	0.8996006760514448	0.33009351544252596	2.458621128808307	0.006424496039768215	0.0033790638761679818	ok				0.024091860149130805
bulk_marker_score	refractory_module_score	GSE92415	59	27	32	0.6712962962962963	0.20685803188092597	-0.23009991364594234	0.4369579455268683	0.693771929837939	0.3066943661869351	2.001249888948943	0.023691506757227136	0.0248233285068707	ok				0.05611146337238006
bulk_marker_score	refractory_module_score	random_effects	239	117	122					1.1961627612919457	0.31364356189564424	3.307401253696623	0.0001368657559080864		ok_random_effects	0.22142306204586915	8.042339315961687	0.5026322761511477	0.001230414754995955
bulk_score	inflam_crp	GSE12251	23	11	12	0.8484848484848484	0.4908186	-0.15647149	0.64729009	2.5320629983038128	1.161510489682179	12.579430730537164	0.02925936781222044	0.005105016420149752	ok				0.05679000197618775
bulk_score	inflam_crp	GSE16879	61	33	28	0.8333333333333334	0.6796384	0.122866962	0.556771438	1.8388089913116983	0.48426237822587376	6.289043493304232	0.0001463788538442067	8.569059807679319e-06	ok				0.001230414754995955
bulk_score	inflam_crp	GSE23597	32	7	25	0.7485714285714286	0.60393256	0.4308391	0.17309345999999998	1.35156647264558	0.6169934382722299	3.863472817491257	0.028483023100181894	0.0483508504225968	ok				0.05679000197618775
bulk_score	inflam_crp	GSE73661	64	39	25	0.7374358974358974	0.6193191	0.18131046	0.43800864	0.8016815500622085	0.31113747352381504	2.229286435225192	0.009977294667509497	0.0014795925208997906	ok				0.03524896200896349
bulk_score	inflam_crp	GSE92415	59	27	32	0.6863425925925926	0.57689184	0.237687955	0.33920388500000004	0.7373696410704614	0.33549610352886294	2.0904296961118165	0.027959896866233014	0.014608989677258873	ok				0.05679000197618775
bulk_score	inflam_crp	random_effects	239	117	122					1.1360226458854012	0.25697925514900316	3.1143567991220626	9.839151001472802e-06		ok_random_effects	0.10672416111260122	6.025297929095621	0.33613241252613246	0.00044276179506627607
bulk_score	inflammation_score	GSE12251	23	11	12	0.9242424242424243	0.38534087	-0.3474361	0.73277697	5.269789709282709	2.577280101596466	194.3750828716455	0.04088348346276046	0.0006359753413841611	ok				0.06813913910460077
bulk_score	inflammation_score	GSE16879	61	33	28	0.8538961038961039	0.9388138	0.11966341999999999	0.8191503800000001	1.8291940890726317	0.4760657640441466	6.228864725033984	0.0001218798351138709	2.2962100705416683e-06	ok				0.001230414754995955
bulk_score	inflammation_score	GSE23597	32	7	25	0.8171428571428572	0.8422029	0.521971	0.3202319	1.6768315891438752	0.7134683626387094	5.348582588857645	0.018760624102765622	0.00973422511242311	ok				0.048190210026787084
bulk_score	inflammation_score	GSE73661	64	39	25	0.7292307692307693	0.8172914	0.21106194	0.60622946	0.8023802538923949	0.3137820468773798	2.230844590477198	0.010554095832885189	0.002150835665221761	ok				0.03524896200896349
bulk_score	inflammation_score	GSE92415	59	27	32	0.6875	0.5923991	0.32102932	0.27136977999999995	0.7133989079067199	0.3135429640053977	2.0409163698586865	0.02288897155118863	0.014004643998275588	ok				0.05567587674613451
bulk_score	inflammation_score	random_effects	239	117	122					1.1847890537179266	0.3125734196936372	3.269996955006078	0.00015038402561061672		ok_random_effects	0.21275435972652934	7.891820396209452	0.49314609314712055	0.001230414754995955
bulk_score	neutrophil_proxy	GSE12251	23	11	12	0.9090909090909091	0.43358886	-0.25912247499999996	0.692711335	3.446003621575477	1.467640420472938	31.374756032824255	0.01887507671084031	0.0009923121699459702	ok				0.048190210026787084
bulk_score	neutrophil_proxy	GSE16879	61	33	28	0.8333333333333333	0.53397614	0.043145229	0.49083091100000004	1.516637064396992	0.4182037290711429	4.556874921705753	0.00028723234222566085	8.569059807679319e-06	ok				0.0017233940533539652
