gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	Stromal_other	T_NK
CPT1B	0.0067579676	0.015787443	0.09597686	0.013931153	0.0018975332	0.013735146	0.0053390283	0.008077653
CPT1C	0.048656136	0.41321817	0.030931639	0.15731111	0.07144626	0.030752348	0.16016392	0.03675861
CPT2	0.083478935	0.15742971	0.52552795	0.1114808	0.052501775	0.1057222	0.13660313	0.075050205
CPVL	0.02260923	0.15952474	0.010439564	0.10507979	0.012685453	2.3012133	0.013018356	0.010866593
CPXM1	0.018434426	0.027118238	0.006954838	0.9192381	0.017077798	0.008820553	0.13288033	0.0053874184
CPXM2	0.0025988827	0.71820915	0.059342034	0.05561265	0.0	0.0009853188	0.008458792	0.0002692551
CPZ	0.0	0.0	0.0	0.0042707664	0.0	0.0	0.0	0.0
CR1	0.09089915	0.0018129885	0.001655992	0.0029531969	0.017077798	0.1989343	0.042712227	0.013797873
CR1L	0.0031865507	0.030804776	0.0	0.01024984	0.0018975332	0.013301803	0.0053390283	0.0005385102
CR2	0.20734254	0.0024080048	0.002476116	0.0034735305	0.014168208	0.007853217	0.0	0.015775844
CR769776.1	0.0	0.0	0.0009606609	0.0	0.0	0.0	0.0	0.0
CRABP1	0.0	0.0	0.021373177	0.0	0.0	0.0	0.0	0.0
CRABP2	0.017759252	0.02176707	0.038764678	0.5110247	0.0018975332	0.010551494	0.04788046	0.00886708
CRADD	0.10539659	0.25849676	0.28592	0.23866884	0.07763412	0.10796062	0.3579063	0.1263805
CRAMP1L	0.03586046	0.23437458	0.17215751	0.111461885	0.024532514	0.099246405	0.14101884	0.039403576
CRAT	0.092511676	0.25095508	0.40549767	0.28753677	0.06174855	0.114199676	0.24521363	0.06703919
CRB1	0.0018768279	0.007701194	0.0	0.00256246	0.0018975332	0.003941275	0.0	0.007539143
CRB2	0.0103137065	0.002792173	0.20270437	0.10219334	0.0	0.0023248617	0.0	0.0010770204
CRB3	0.07007718	0.004956143	0.83069354	0.0064316434	0.006479814	0.006597614	0.0071903476	0.02184959
CRBN	0.1884245	0.8747847	0.2695037	0.48929223	0.95049214	0.24799258	0.6146131	0.40900594
CRCP	0.12041003	0.27767655	0.22221418	0.20581676	0.101348005	0.11053878	0.13915148	0.15940675
CREB1	0.19570304	0.42013094	0.22594795	0.3242232	0.27347028	0.30543718	0.3413447	0.29084277
CREB3	0.39039475	0.50488925	0.34969392	0.555185	0.1949402	0.18114738	0.3861776	0.15990871
CREB3L1	0.011180917	0.02641782	0.78456426	0.5155222	0.006653028	0.007091879	0.016240902	0.0065557538
CREB3L2	0.49270847	0.3667958	0.18405136	0.40765065	0.3299166	0.21093608	0.3656299	0.15222727
CREB3L3	0.00041777824	0.0	0.04364651	0.0	0.0037950664	0.00088335766	0.0	0.018797763
CREB3L4	0.08704982	0.20277846	0.3892464	0.10970677	0.06468558	0.044107847	0.09540683	0.043800805
CREB5	0.017838426	0.10068797	0.0018599442	0.104129486	0.032258064	0.7113002	0.34188902	0.0041812193
CREBBP	0.13145673	0.33433545	0.23380975	0.33344123	0.13848369	0.3182409	0.26351663	0.21004644
CREBL2	0.14659798	0.33982435	0.18040745	0.23716037	0.13338286	0.62633497	0.21822535	0.2180029
CREBRF	0.19028015	0.46102008	0.11774046	0.28788754	0.26518512	0.36740056	0.2471075	0.28322658
CREBZF	0.17083687	0.25328797	0.18211429	0.29242215	0.1163247	0.124893636	0.264536	0.20708391
CREG1	0.20625839	0.3973281	0.28469822	0.85813105	0.28345346	1.2185162	0.22849947	0.097832076
CREG2	0.000941398	0.0	0.00084057834	0.0	0.0018975332	0.0004926594	0.0	0.0006731378
CRELD1	0.1554785	0.6262255	0.22700423	0.3619962	0.14008766	0.09857939	0.33521146	0.14753231
CRELD2	1.0742999	0.44235235	0.4303695	0.41362524	0.18040596	0.24937099	0.2740547	0.22506814
CREM	0.35609373	0.29775378	0.07337531	0.19444945	0.52804536	0.50541216	0.20438808	1.102747
CRHBP	0.0063331863	0.007701194	0.0	0.0036434617	0.0075901328	0.3657915	0.0053390283	0.00094239286
CRIM1	0.031470295	1.5895642	0.35950276	0.24841125	0.033091724	0.022236831	0.48834988	0.037162803
CRIP1	0.33669686	0.3099961	0.32737455	0.27574125	0.21608046	0.5201936	0.512905	0.61670375
CRIP2	0.049796842	4.938442	0.010940433	1.1351937	0.024566049	0.031988036	2.1729918	0.087583266
CRIP3	0.024703765	0.0057758954	0.023210263	0.0016465387	0.0018975332	0.06710498	0.0	0.002423296
CRIPAK	0.036446344	0.08479386	0.14933234	0.05142486	0.018975332	0.057913195	0.053429242	0.028766308
CRIPT	0.27942285	0.39446098	0.36357558	0.3547205	0.3194149	0.2733624	0.42730123	0.24141718
CRISPLD1	0.000470699	0.09626492	0.0	0.033739056	0.017077798	0.0009853188	0.069407366	0.00013462755
CRISPLD2	0.016047118	0.10723516	0.023403602	1.6364744	0.01388983	0.16716246	0.7734861	0.017787624
CRK	0.15175113	0.94612443	0.4892263	0.45491385	0.12539253	0.27766547	0.4594029	0.21232165
