gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	T_NK
NUBPL	0.08500143	0.21266077	0.23376012	0.1706041	0.1292019	0.15067434	0.097512186
CTD-2213F21.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2213F21.3	0.0	0.0	0.0014208582	0.0	0.0	0.0	0.0
RP11-159D23.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-187E13.1	0.0017170508	0.0051733055	0.29152632	0.0	0.0	0.0014865467	0.003505085
RP11-187E13.2	0.0	0.0	0.0028417164	0.0	0.0	0.0014865467	0.0
ARHGAP5-AS1	0.02462069	0.089223884	0.23794538	0.14543648	0.027777778	0.09753623	0.031839177
ARHGAP5	0.1566094	0.49026397	0.540406	0.44908598	0.13371813	0.29765916	0.23973423
AKAP6	0.03652699	0.040786713	0.04874911	0.10843374	0.018518519	0.06755073	0.012328285
RP11-320M16.2	0.00086375675	0.0	0.0014208582	0.016064256	0.0	0.0014865467	0.00022014794
NPAS3	0.0086365305	0.13963383	0.012992513	0.18473895	0.0	0.0074327337	0.0028073727
EGLN3	0.014820328	0.6174237	0.55623263	0.12174212	0.006298171	0.06821794	0.023814434
EGLN3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPTSSA	0.2703755	0.67530215	0.7088604	0.8977541	0.25794116	0.3511745	0.14781132
EAPP	0.25868565	0.54656523	0.5779589	0.4967265	0.25518405	0.27912065	0.36177418
RP11-671J11.7	0.0	0.010346611	0.0014208582	0.0	0.0	0.005946187	0.0013208876
RP11-671J11.4	0.0	0.0051733055	0.0	0.0	0.0	0.0	0.0
SNX6	0.19922578	0.5649183	0.45174435	0.49953693	0.29058865	0.46816486	0.43724048
CFL2	0.15050188	0.50371623	0.039481353	0.48932242	0.094684966	0.10044405	0.18051937
BAZ1A	0.25975183	0.50328565	0.40744698	0.32905087	0.38069364	0.58390564	0.4967684
RP11-73E17.2	0.03994451	0.14253509	0.07086076	0.056865763	0.08011185	0.0661289	0.07949918
SRP54	0.367038	0.3724358	0.3262689	0.3025761	0.23909836	0.2747758	0.28534606
FAM177A1	0.2652357	0.67497206	0.6168664	0.33219796	0.4072418	0.37081707	0.69598097
PPP2R3C	0.1641525	0.37068102	0.29295862	0.2844304	0.16697532	0.2580936	0.3004869
KIAA0391	0.016774047	0.1068449	0.053240404	0.041707866	0.037037037	0.016311564	0.042203218
RP11-561B11.2	0.00086375675	0.0	0.0	0.004016064	0.0	0.0029730934	0.0013208876
PSMA6	0.12686196	0.43974552	0.28984866	0.24147998	0.21424735	0.25596052	0.25556445
RP11-561B11.3	0.00028791893	0.056906365	0.0028417164	0.008032128	0.0	0.010405827	0.00044029587
NFKBIA	0.6732	1.0574178	0.86836046	0.9363871	1.982323	1.37729	1.4809364
RP11-561B11.6	0.0	0.0	0.0014208582	0.004016064	0.0	0.0	0.0
INSM2	0.0	0.0051733055	0.0014208582	0.004016064	0.0	0.0	0.0
RALGAPA1	0.18254474	0.30371204	0.2142805	0.29045686	0.23760822	0.20109227	0.34806493
RP11-317N8.5	0.008209507	0.025866529	0.015975498	0.0	0.018518519	0.013378921	0.009246213
BRMS1L	0.07620631	0.23387869	0.06115433	0.19643572	0.007815457	0.05694789	0.08177505
RP11-317N8.3	0.00057583785	0.0	0.0	0.004016064	0.0	0.0	0.0011007397
RP11-116N8.2	0.00028791893	0.0051733055	0.0	0.0	0.0	0.0	0.00022014794
RP11-116N8.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00609	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTCSC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-259K15.2	0.0	0.0	0.0	0.0	0.0	0.0014865467	0.0
MBIP	0.10030685	0.26756343	0.24155433	0.42098624	0.099893935	0.1418292	0.17865677
SFTA3	0.003979524	0.0051733055	0.0042625745	0.012048192	0.009259259	0.005946187	0.0061641424
NKX2-1	0.0	0.0	0.0	0.0	0.0	0.0	0.00022014794
NKX2-1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NKX2-8	0.0	0.010346611	0.0014208582	0.004016064	0.0	0.0	0.0
RP11-964E11.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAX9	0.00057583785	0.0	0.0014208582	0.0	0.0	0.0014865467	0.00044029587
SLC25A21	0.0023033514	0.035823163	0.090447746	0.016064256	0.0	0.0	0.0015410356
RP11-81F13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-81F13.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A21-AS1	0.00086375675	0.13967925	0.0896844	0.06827309	0.009259259	0.005946187	0.00022014794
MIPOL1	0.01620651	0.19494694	0.14514767	0.18033019	0.027777778	0.024476122	0.018288828
RP11-356O9.2	0.00057583785	0.0	0.0014208582	0.0	0.0	0.0	0.0
RP11-356O9.1	0.00028791893	0.015519917	0.009946007	0.008032128	0.0	0.0	0.0
FOXA1	0.0033721153	0.0051733055	0.6711791	0.0	0.0	0.019597007	0.0022014794
TTC6	0.0	0.0	0.03942333	0.024096385	0.0	0.0	0.00044029587
LINC00517	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
